strategy,retriever,n_questions,page_hit_at_3,page_recall_at_20,all_pages_at_20,mrr_at_3
sentence_10_overlap_5,bm25,20,0.85,0.9,0.85,0.825
sentence_10_overlap_5,dense,20,1.0,0.975,0.95,0.9666666666666666
sentence_10_overlap_5,hybrid_rrf,20,0.9,0.95,0.9,0.8416666666666666
sentence_15_no_overlap,bm25,20,0.9,0.9,0.85,0.8416666666666666
sentence_15_no_overlap,dense,20,0.95,1.0,1.0,0.925
sentence_15_no_overlap,hybrid_rrf,20,0.9,1.0,1.0,0.85
sentence_6_overlap_3,bm25,20,0.8,0.925,0.85,0.775
sentence_6_overlap_3,dense,20,1.0,0.95,0.9,1.0
sentence_6_overlap_3,hybrid_rrf,20,1.0,0.95,0.9,0.9083333333333334
sentence_8_overlap_4,bm25,20,0.85,0.875,0.8,0.825
sentence_8_overlap_4,dense,20,1.0,0.975,0.95,1.0
sentence_8_overlap_4,hybrid_rrf,20,0.9,0.95,0.9,0.9
word_180_overlap_40,bm25,20,0.85,0.925,0.85,0.7916666666666667
word_180_overlap_40,dense,20,0.95,1.0,1.0,0.8916666666666666
word_180_overlap_40,hybrid_rrf,20,0.95,1.0,1.0,0.85
word_280_overlap_60,bm25,20,0.9,0.9,0.85,0.8416666666666666
word_280_overlap_60,dense,20,0.95,1.0,1.0,0.9
word_280_overlap_60,hybrid_rrf,20,0.9,0.975,0.95,0.85
